frame,motion_idx,motion_frame,server_motion_idx,server_frame_idx,sync_status,body_pos_max_diff,body_pos_mean_diff,dof_max_diff,dof_mean_diff
118,34,80,34,22,SYNC,0.000000,0.000000,0.603816,0.144782
119,34,81,34,22,SYNC,0.000000,0.000000,0.599893,0.144858
120,34,82,34,22,SYNC,0.000000,0.000000,0.592590,0.144798
121,34,82,34,22,SYNC,0.000000,0.000000,0.577626,0.144339
122,34,83,34,22,SYNC,0.000000,0.000000,0.557266,0.143212
123,34,83,34,22,SYNC,0.000000,0.000000,0.533222,0.141859
124,34,84,34,22,SYNC,0.000000,0.000000,0.529295,0.140086
125,34,85,34,22,SYNC,0.000000,0.000000,0.539418,0.141000
126,34,85,34,22,SYNC,0.000000,0.000000,0.544639,0.142178
127,34,86,34,22,SYNC,0.000000,0.000000,0.545800,0.143053
128,34,86,34,22,SYNC,0.000000,0.000000,0.544189,0.144964
129,34,87,34,22,SYNC,0.000000,0.000000,0.536051,0.146609
130,34,88,34,22,SYNC,0.000000,0.000000,0.525374,0.148165
131,34,88,34,22,SYNC,0.000000,0.000000,0.508950,0.149532
132,34,89,34,22,SYNC,0.000000,0.000000,0.487360,0.151038
133,34,89,34,22,SYNC,0.000000,0.000000,0.539531,0.154560
134,34,90,34,22,SYNC,0.000000,0.000000,0.607579,0.158473
135,34,91,34,22,SYNC,0.000000,0.000000,0.677621,0.162491
160,116,12,116,12,SYNC,0.000000,0.000000,0.617813,0.190350
161,116,12,116,12,SYNC,0.000000,0.000000,0.612298,0.178865
162,116,13,116,13,SYNC,0.000000,0.000000,0.572987,0.164227
163,116,14,116,14,SYNC,0.000000,0.000000,0.497914,0.153049
164,116,14,116,14,SYNC,0.000000,0.000000,0.524005,0.148605
165,116,15,116,15,SYNC,0.000000,0.000000,0.728771,0.153672
166,116,15,116,15,SYNC,0.000000,0.000000,0.838854,0.169340
167,116,16,116,16,SYNC,0.000000,0.000000,0.932457,0.174500
168,116,17,116,17,SYNC,0.000000,0.000000,1.008628,0.188960
169,116,17,116,17,SYNC,0.000000,0.000000,1.006552,0.192299
170,116,18,116,18,SYNC,0.000000,0.000000,0.982515,0.188407
171,116,18,116,18,SYNC,0.000000,0.000000,0.933972,0.184118
172,116,19,116,19,SYNC,0.000000,0.000000,1.014924,0.176848
173,116,20,116,20,SYNC,0.000000,0.000000,1.121118,0.165834
174,116,20,116,20,SYNC,0.000000,0.000000,1.103192,0.156406
175,116,21,116,21,SYNC,0.000000,0.000000,1.096034,0.150836
176,116,21,116,21,SYNC,0.000000,0.000000,1.016745,0.143840
177,116,22,116,22,SYNC,0.000000,0.000000,0.986335,0.139270
178,116,23,116,23,SYNC,0.000000,0.000000,0.911652,0.144955
179,116,23,116,23,SYNC,0.000000,0.000000,0.877078,0.150799
180,116,24,116,23,SYNC,0.000000,0.000000,0.928364,0.156532
181,116,24,116,23,SYNC,0.000000,0.000000,0.970831,0.161277
182,116,25,116,23,SYNC,0.000000,0.000000,0.999282,0.163034
183,116,26,116,23,SYNC,0.000000,0.000000,1.022338,0.163531
184,116,26,116,23,SYNC,0.000000,0.000000,1.032410,0.161216
185,116,27,116,23,SYNC,0.000000,0.000000,1.031952,0.157266
186,116,27,116,23,SYNC,0.000000,0.000000,1.022076,0.152022
187,116,28,116,23,SYNC,0.000000,0.000000,0.986372,0.150291
188,116,29,116,23,SYNC,0.000000,0.000000,0.938355,0.159790
189,116,29,116,23,SYNC,0.000000,0.000000,0.856595,0.172650
